UTM13E,UTM13N
640987.96,6070439.52
644030.0,5997185.0
689245.0,6006475.0
688232.29,6053472.66
694737.05,6061422.56
621591.66,6063228.61
616855.83,6048245.77
612968.97,6051346.74
616624.85,6038264.87
652133.61,6010358.13
690692.2,6055215.63
631210.0,5989975.0
650830.0,6002430.0
615405.89,6049085.76
666452.05,6072083.48
645800.0,6025628.0
641108.96,6061753.61
691329.17,6058863.6
647739.75,6032454.91
687349.3,6066527.52
693589.09,6058897.59
678632.62,6058128.62
676626.69,6061237.58
670453.92,6052210.69
683585.0,6005930.0
699777.89,6037282.81
643784.88,6046866.77
691552.0,6073032.0
693240.1,6057830.6
640120.03,6011987.12
688623.0,6052655.0
694269.07,6051405.67
694105.08,6052729.66
689715.0,6010430.0
688165.0,6027060.0
695073.05,6047756.71
613870.93,6062765.62
650809.65,6014769.08
699249.87,6071803.45
707774.64,6013308.04
613022.96,6065696.59
660680.28,6036418.86
694749.05,6058637.59
634003.21,6065713.57
611426.02,6054630.71
614363.0,6058073.0
705463.0,6024451.0
696225.98,6077521.39
681263.56,6029240.91
685551.0,6021806.0
631152.37,5983828.4
679295.0,5997480.0
695247.03,6058752.59
695586.02,6057157.61
635245.17,6062471.61
649451.67,6048967.74
651700.0,6002535.0
654948.49,6028950.94
700841.82,6072214.44
693562.09,6054903.63
653217.55,6033192.9
637958.08,6046902.77
688922.28,6032022.88
633325.0,5990525.0
614680.91,6043785.82
705727.69,6032125.86
649650.0,6015430.0
685875.36,6061855.57
689989.21,6065956.52
691630.0,6012185.0
691790.0,6001020.0
691930.0,6000160.0
633130.25,6051521.72
615766.87,6047922.77
637370.0,6003530.0
689989.21,6065956.52
617410.81,6048140.77
701580.0,6043000.0
698215.0,5997300.0
613920.93,6062760.62
640120.03,6011987.12
638837.0,6060365.0
647282.73,6070302.51
655005.0,6029306.0
658324.34,6066654.54
702315.0,6070093.0
695760.0,5994130.0
704910.0,6030795.0
645818.84,5996761.26
693954.08,6056251.62
653874.5,6071636.49
682309.0,6011534.0
704925.0,6031465.0
637500.09,6062570.6
637753.12,6005111.19
678088.71,5993653.26
693618.0,6052269.0
683677.45,6047436.72
696497.97,6069206.48
637475.09,6061641.61
697283.0,6023214.96
687684.0,6005251.0
693927.08,6057302.61
663822.14,6073069.47
632074.28,6061233.62
693723.09,6057882.6
617365.81,6052405.73
689939.22,6062890.55
683160.0,6006650.0
701399.83,6038994.79
614320.0,6035730.0
694677.05,6059067.59
642652.92,6047418.76
691554.16,6062865.55
694568.06,6054080.64
672163.85,6059270.61
638014.07,6063359.6
685631.36,6071253.47
689895.22,6060103.58
619085.75,6054215.71
616205.86,6048355.77
693945.08,6056870.61
632815.26,6061657.62
619400.74,6058485.66
691341.17,6061123.57
695539.02,6058238.6
648103.7,6068164.54
615380.89,6049030.76
693265.1,6057243.61
693190.11,6053092.65
681295.53,6058853.61
636940.11,6064502.58
692769.0,6055571.0
617846.8,6048810.76
690450.0,6005640.0
652811.54,6063928.58
616745.84,6038915.87
653699.53,6037631.85
701121.86,6022329.96
650410.0,6010930.0
694770.0,5997930.0
696829.95,6076773.4
614515.91,6056280.69
700260.83,6075222.41
